Accession,Frist_Gene,Description,Peptides.used.for.quantitation,Confidence.score,UP,LB,LB,LB,glucose,glucose,glucose,glycerol + AA,glycerol + AA,glycerol + AA,acetate,acetate,acetate,fumarate,fumarate,fumarate,glucosamine,glucosamine,glucosamine,glycerol,glycerol,glycerol,pyruvate,pyruvate,pyruvate,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.12,chemostat µ=0.12,chemostat µ=0.12,stationary 1 day,stationary 1 day,stationary 1 day,stationary 3 days,stationary 3 days,stationary 3 days,glucose,glucose,glucose,50 mM NaCl,50 mM NaCl,50 mM NaCl,42°C,42°C,42°C,pH 6,pH 6,pH 6,xylose,xylose,xylose,mannose,mannose,mannose,galactose,galactose,galactose,succinate,succinate,succinate,fructose,fructose,fructose
sp|P0A6F5|CH60_ECOLI,groL,60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2,55,3795.21,P0A6F5,69053.6283168526,65886.5585430348,63664.1515246417,22739.3222605087,22345.5144982912,22818.6778149042,53970.2773923914,57319.4488856814,57991.9859208926,19918.3218238609,19163.8357666658,19539.7810012511,26745.1084660517,24183.8710810097,26421.5299193358,23090.4597574537,24325.3240144,23072.1355867917,27831.7788288077,25992.1274804199,26357.6880193884,21693.772372375,22919.1364990737,24366.9155785528,25436.6130892107,25954.2030805539,26158.0982007108,23701.8397533509,24209.5298104617,22831.7155984948,17667.9626779217,17810.6674958989,18448.1817579494,18020.0261390741,16536.2462360745,16980.1579309434,26509.2300949155,27336.8802907191,26346.9991205402,26198.7734699186,25773.9099669323,25509.9280862108,21205.3975659465,22734.4166243262,23122.8083534832,23058.8953108528,22879.416699175,22163.3414537078,65428.4054118982,71760.099565768,63124.8331560977,25378.4946354406,28955.4691617819,26820.9796735872,26428.2192003015,23689.48969723,27676.3195585137,27239.0098796244,27257.0909146993,25782.4296722829,16385.1832222257,15451.3310600927,15632.1542012319,23849.2164493322,26639.0759122759,26689.9704650628,25045.0468072137,24906.0917497339,24404.1453048404
sp|P0A7R1|RL9_ECOLI,rplI,50S ribosomal protein L9 OS=Escherichia coli (strain K12) GN=rplI PE=1 SV=1,8,695.32,P0A7R1,66321.5409220024,83961.3835436128,91546.6420687015,35084.2378683418,32011.7382909387,34888.7725314164,54651.600319476,58316.7669942041,52054.3116377963,13616.4367592276,13493.8138897747,15114.2019734481,21805.7537681297,22221.3876963173,21156.7331047036,26454.6104217529,24586.325404086,28343.8618350841,25920.3479379846,27574.4113431858,23796.5072223224,20903.0227152079,17152.8417103169,19853.7276452824,19063.7661865433,19789.3462795661,21531.7263811067,13635.5741490529,14392.9933917616,14341.8703662077,12349.620044703,11452.2285460749,10492.1551975995,9878.44395465339,8297.87443434983,8194.65518990176,20335.7109150202,21355.7745965558,19570.1658270917,16596.6905073746,16080.1727117026,16558.7118720938,41742.765508854,31533.4020744016,34956.7467076157,33554.1896318298,31118.1924300128,30999.5137483681,34668.7516681654,39717.6827158789,34797.3004840767,35399.3194438354,32756.4205152156,36092.1195098409,29391.9147900918,32290.5154674913,30486.8859078082,21894.4973328117,20684.7014140466,22892.5492174696,14354.2932378922,13941.4786874629,13485.1179752423,21947.3015955297,20011.2750554459,19136.178595695,31999.1070600835,30315.1394149412,32601.0555986824
sp|P69776|LPP_ECOLI,lpp,Major outer membrane lipoprotein Lpp OS=Escherichia coli (strain K12) GN=lpp PE=1 SV=1,10,601.85,P69776,65769.0643504698,49514.9124756656,73115.5488234211,49473.3944977916,48939.4674791309,47071.7959673823,62401.1804081913,88711.7736054709,60513.5855125859,41895.342285851,36368.1201200669,42613.2527937171,55920.0211368875,52380.8298691868,45540.109938919,78662.4996133074,60833.3440341256,81029.3447481646,53415.5266752624,47094.0274453026,44588.6720039579,36500.5008400324,40623.935157592,58926.9310778096,57441.2825010114,51075.1997078922,65357.4731674782,59980.7259167532,60674.4887112569,53983.6450444636,42861.8289485858,47569.13062587,43689.4388421708,51048.6721386596,41916.4346663886,39709.8652300308,139676.470091904,118958.952889317,141444.507441116,80834.3019699043,97358.5640843156,81301.7277334592,54454.0859347358,57284.2996044426,51321.75609901,74411.3899341226,69549.6184119389,56705.1867028099,48378.0706880575,64850.0053052312,57148.3999944611,72294.4518779732,72810.9792121324,67211.5269607661,53929.5423962793,73693.3924955945,71430.522007562,46189.96307016,44925.3755649089,43378.6627597166,42654.438846335,32193.5815180123,37621.2298327427,51325.2266256257,52425.100191498,49536.6125412435,51461.8903774679,55697.3032381539,53084.9547136968
sp|P62399|RL5_ECOLI,rplE,50S ribosomal protein L5 OS=Escherichia coli (strain K12) GN=rplE PE=1 SV=2,21,1537.62,P62399,63540.8705828317,82827.2993099684,69275.2230064657,33965.5327148724,31769.3135128119,30203.4559765086,50152.2654831479,48571.5033195672,51498.4340530999,13165.8838857371,13321.2968807862,13360.0322935136,19732.7367112448,19298.8045795064,18194.9554962736,21637.9088589998,19001.4367925135,20812.8510278393,20097.6766581297,22716.8908409868,24890.4906786731,15729.2063982414,16618.9568870744,14912.0467097411,22440.68186039,20922.5636165573,17875.5910574607,12965.8911465699,13855.0160874415,13136.5887837442,10392.7072418174,10394.6724277042,11962.2062375102,7866.6350169443,8097.72596805067,8549.6982101835,8043.25327984533,9459.88719433741,9701.55779796008,11005.8548867358,7686.78655362805,7407.25064163367,31403.6435101331,30610.2586522012,32564.9068169172,20152.5646622027,21561.5852529106,24193.310571235,26236.7936260078,20047.2119339722,27906.2366902866,23640.3687001928,25000.1465292129,24713.0231779549,27192.7851683133,27717.8271530211,27202.0403272885,21384.7192724291,22578.7687929612,23100.6162610689,13768.9425726107,17361.4630614836,14264.6515308186,24730.3893902068,22438.2746674926,23441.5384134397,33068.751283343,31059.7982065797,31745.0811696199
sp|P0A799|PGK_ECOLI,pgk,Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2,32,2518.51,P0A799,61980.6516651067,57863.4121984392,51437.0508499646,41567.6585378569,40038.9617257008,39825.3021687806,61210.1522906574,68141.1613135432,60128.1084660849,31034.4802880318,29801.6662224316,29467.0240355729,32513.9861191866,28159.132422223,30846.7169461639,30380.7188118948,30790.25206204,31448.9918621567,37087.55538099,34332.9573838876,32861.0089113013,31166.3449176109,28023.7877004661,28150.149477161,30869.6629969764,30930.2146442789,33104.2963454366,26961.9547847283,24937.441832588,28864.0339804723,22499.707304104,20869.7208088613,21335.6393799897,24325.7258490594,21372.2685865553,20450.924108792,24265.8180750386,24896.2261434476,22644.8276681235,25028.4212109081,23342.5410117661,23448.3051937459,34886.1400985713,36590.3396681648,38421.5316333425,53394.5186470937,44600.5010804715,39067.297220486,43806.019548774,32030.2692021946,38747.3351814251,41202.7268994398,46222.2456536681,41229.8568653939,40866.6674579669,41845.514397692,40482.529722248,27882.1305084994,24418.6077674438,25202.8502583239,29925.9345913143,31103.2552389313,28007.039828072,26913.5536785449,29193.406261678,27811.439989329,46061.3509789102,45946.4919039778,51329.8567940274
sp|P0AA10|RL13_ECOLI,rplM,50S ribosomal protein L13 OS=Escherichia coli (strain K12) GN=rplM PE=1 SV=1,9,606.86,P0AA10,61473.5223891916,74846.136916106,75673.3748225384,31491.7803860232,29658.5708487467,32277.2224268065,50205.2108775727,48216.7081766225,49500.8506727737,13479.9564640264,13210.092444204,14199.7154906159,22018.9287482118,21164.6965222192,19790.6377813992,24920.0536361695,20470.228868547,23870.8200867629,23228.8096182348,24513.7016859946,25182.5429082113,18322.3346572551,16556.5736911721,18431.5758648828,21082.5907625875,21713.9925331065,19616.564793222,13285.28119525,14031.5975385236,15826.7935583439,11382.824032301,10618.6971330818,10549.5424803435,8074.05224014346,8752.49864212542,8507.59499893774,13549.0309365057,16543.0636662134,14616.5052435752,13284.70730563,13253.8971237478,12321.7708496805,35319.4726761299,34089.04536059,34767.7068252779,29299.6244746945,24292.7895302372,31754.1188669976,33318.7672389193,35682.5410296073,32008.0149327833,31278.2097777252,28600.3855493999,32891.9196367264,24672.5019766169,28644.2014908468,28116.9571805948,20893.6527680586,20226.1862040407,20837.3591202362,13596.3397516733,15431.8900663657,14141.4601932411,22674.3071691099,19848.1504552268,22222.5106260005,30510.1780018968,30872.4586655946,31852.7562877333
sp|P0A6Y8|DNAK_ECOLI,dnaK,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,53,4447.08,P0A6Y8,59813.458878259,59770.3299147671,51967.9489500427,18439.8385548232,18605.2961563636,19503.364990373,38605.6627184032,38663.7216582585,36960.8627876796,14664.163416313,14174.3281149666,14074.6218387655,16764.4847431647,17964.2110556537,16848.5199380341,17377.8378563227,18436.0878193715,17438.3734278729,16831.0510610395,17973.4361352004,17699.2088965642,14734.6898267361,12534.6100434298,13238.6984722107,15817.5833054449,15492.1787201323,14903.0802221999,13263.550779598,13101.6727439361,13382.1154187762,11071.8544270514,10107.4908513997,10500.5154373163,9095.87776526857,9962.9458594095,9605.96219751196,34071.6543358727,32979.7766268013,36120.3811266708,33716.1378077118,35806.7681650337,31382.717545611,19246.2385661078,19789.0271145367,19348.2676721014,24032.7051486998,19456.2982272869,20710.3445365466,44984.8923564165,49059.8372000902,41808.1797356041,29227.2588701414,34136.5939491208,34334.4584544747,18456.8477530286,16752.1415647542,18759.3243706196,18128.2562184045,17818.9511498842,18096.792957396,10596.3735709332,11764.3594126998,11030.3349656428,19666.2083715625,20524.3524037044,19114.5588281147,18740.3790901528,18813.7629773879,18694.598383904
sp|P0A7L0|RL1_ECOLI,rplA,50S ribosomal protein L1 OS=Escherichia coli (strain K12) GN=rplA PE=1 SV=2,19,1468.25,P0A7L0,59095.0451968855,76876.9941462102,80411.2441361855,28501.7471030796,29182.0481200255,27985.5379429532,46498.1877972004,47365.9179087922,47616.2193264945,11788.1962779281,11672.0411578739,10941.1765020866,17445.0046410294,18026.6275865221,17157.4034825044,18439.6244720204,19397.3337513899,19544.8000280792,21230.593493867,20511.3209797154,19838.2673830563,14139.2357911451,15730.1507545239,15168.8149234138,18271.2765822471,17008.057542467,16466.8498877904,12046.2368269229,11622.1475473209,12226.6479129231,8189.3044406317,8259.6308330953,8513.11682174327,8235.83494591987,7470.50444941891,7744.87435487449,9832.12468134945,9631.74899503784,8800.39764513245,10588.2664709725,11281.5458124615,10017.192931822,29010.6587971503,27998.802103119,26946.2569991118,18138.8490780542,21992.965432211,21183.6134925312,23179.8604088659,23302.1298040122,24561.6347370218,22215.1348603852,24595.4020809031,22163.8884237331,24472.9463391449,22772.7912287483,26345.32038544,18528.4814276434,21009.0999912813,18986.5498793198,12511.1425968271,11475.357509099,12722.4658181666,19871.2381577097,18602.8284606495,18210.3991093792,26063.4326942578,26955.0954407776,25564.788876238
sp|P0A7V0|RS2_ECOLI,rpsB,30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2,23,1290.05,P0A7V0,59073.859601413,76514.4073583771,71379.3576286663,29194.6993952289,29156.3891206666,28856.2257108883,43323.8302573398,46003.7396387454,43643.8136438552,13842.9137710831,12007.3656639269,13073.8113605749,19349.5039846743,20360.8723950907,19635.3900545556,17954.3417581449,17981.3454440135,19050.7595347549,23368.786333892,23668.1692484027,24291.2160011237,17096.8259812622,16455.4802719157,16558.981001949,20848.0481885502,20326.3950374085,21172.3394375275,13838.7940344306,13735.1230340251,13723.3167984333,10701.1220775275,10760.3477817735,10532.480718419,9306.01426281842,8765.85195329861,8873.97382469489,11437.2955895888,10821.580758251,11086.959659272,13634.1634846787,12588.3568220627,12599.9937614335,32161.4373712195,31560.2400770003,31542.6169424676,24444.6001761522,26507.2359570946,26885.8356638905,32310.1486070009,28548.5924655247,28424.5252567226,25780.3039851448,23729.4266166363,24585.7577236503,31836.4539019677,29735.5958299139,31040.8229073103,22033.6893289505,23899.6519920905,24705.3463898926,17424.9128019868,16697.1459100921,16172.4264364995,25698.0473625026,24908.6171518171,24477.1882000561,37764.6479172336,36853.9793289463,33588.1750604168
sp|P0ADZ4|RS15_ECOLI,rpsO,30S ribosomal protein S15 OS=Escherichia coli (strain K12) GN=rpsO PE=1 SV=2,4,413.65,P0ADZ4,58570.1856490656,79737.9146427448,60728.5251381702,33109.531142037,31489.3884801234,34819.7435557682,45009.1799091753,52927.1275646961,42990.2903983336,18916.0912956732,12980.8783880941,19279.8197531673,20420.5863331826,28483.4148869268,26734.9285383327,23326.6395345482,22703.2761542064,28989.0454548434,28045.3714701149,27377.8661105374,33046.1557448237,22642.7252147918,19768.1306650269,22850.9650910964,25282.4183763947,23333.2624133077,27330.0935749615,19396.8095951748,17605.8047880914,16876.6052396957,14665.248661548,13939.9513203628,13208.4800602708,13382.2138806844,11455.7236944251,12646.0495175446,21472.005470234,16267.3829760266,14909.8525669923,23838.7285335335,22243.8548643377,24334.9580598396,48404.2263233788,55135.1093068128,50227.0250444417,53552.8911982323,39018.4820152726,37282.0252159689,43449.5084939955,41697.2598854952,34116.7156894755,39717.0881705231,32204.2384809697,37367.1602663381,44901.5291529103,50297.5903225413,47120.0151766453,37856.7646340088,37350.3037539942,46357.8766438349,31136.5233618517,28441.0636147008,27139.341850408,44106.0558194088,38530.8077810801,37838.2287030438,63659.7711476807,62564.5434682797,49655.4687707028
sp|P0A7U7|RS20_ECOLI,rpsT,30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2,5,255.45,P0A7U7,57622.3211837366,74646.0768012476,78681.1106795286,29326.5693354975,27094.1701743898,28842.6200959731,44450.9531727585,44644.6688755384,40735.3918645891,10491.8571398218,10865.7173390096,11010.3256384527,18262.4846771852,18739.9769061809,17655.8163983776,20088.9528300737,19944.9428974764,19432.10469937,21077.0224588304,20629.4076382498,21104.1718800095,15928.7185075345,13870.5174164353,16065.2207185649,16946.8216914254,19145.7756105566,19043.9911197924,12091.6684480963,11846.6114162753,12940.4646665083,9809.77864468197,9291.31334079189,9049.51392626654,8287.01715410466,7373.72380309335,8041.76714587155,8935.45054152387,9329.79350630163,8087.50898994442,8750.98549178361,9373.05570387503,7456.0907818312,32420.606553086,33525.4074547195,32933.2019524123,24622.1896852235,27030.9000948194,26898.0159559031,19408.7495394081,31386.2271492912,30295.0205950133,25222.3215340011,24992.5542200081,27837.4396139866,20060.8531944988,22164.0378878904,23011.2956475244,17347.7057522691,16838.6559351563,17367.7542965393,11493.6212831285,11077.2652531009,10719.5910081703,19089.9441727642,16892.0387445071,18125.9931997365,26995.481773924,26101.0000670892,27080.7874868663
sp|P68679|RS21_ECOLI,rpsU,30S ribosomal protein S21 OS=Escherichia coli (strain K12) GN=rpsU PE=1 SV=2,6,437.08,P68679,56890.3499251224,70780.1314783042,71993.9672168489,26991.2859336907,28385.3075853472,28517.1808194382,47960.1559039736,49584.9150196554,44722.5977066679,9779.63268870598,10642.2066394384,9984.0362486551,15102.8058535506,18421.2178007129,16062.2396335196,19398.6675401865,19375.0710996906,20370.99624298,18757.2542868203,20777.2002077599,21121.7625768676,15417.0537241539,14313.0278199132,16760.5122395417,17174.7729812784,17301.2661151449,17453.4572998306,12278.5885180547,11354.7454055479,12499.1136948212,8460.79864189379,9013.43099366586,9210.15829766138,7632.09578249614,7759.71665249609,8454.24845765887,9949.54986293725,11636.6442815163,8692.20875126435,7654.00735593018,9082.96491773035,7022.04591625282,31354.531659118,31410.7546370191,24656.8857491303,24598.3212792002,25230.2591056179,25798.5325974128,23940.572068941,33751.9464788899,23027.9676360092,21724.6206805501,26056.8402372413,26280.3501347821,20180.9150267034,23899.638795291,22332.0039576,15865.6069038179,17927.7798958521,14550.716336869,10752.8004636062,10037.1904932053,10957.046650343,16891.8356845395,14416.3053397171,16344.6985194847,22901.7866232126,22684.2278465523,22461.5787552704
sp|P0A7T7|RS18_ECOLI,rpsR,30S ribosomal protein S18 OS=Escherichia coli (strain K12) GN=rpsR PE=1 SV=2,3,155.84,P0A7T7,56021.7772976897,71869.23120757,71308.2172614199,24271.3926879536,26836.124386116,25415.9461939683,39115.1490127421,37275.8734214889,40322.3876899144,11888.7483361487,11144.5842473436,13667.2083860791,19168.8451533872,18197.6031402599,18526.1350379328,20566.251039829,20311.9965940901,20176.4601586167,19489.4985334272,23269.6502744315,22425.3076789382,16417.7264586738,15929.8904783492,15339.0451946904,20090.6524533336,20723.73192781,20665.6677375722,14285.2488020797,13702.4342360237,14149.7772213819,10995.1634494799,11134.1910091309,10851.9637209294,8564.36131447627,9395.43075767221,8701.05458552937,13711.0600033606,12132.6185008173,12132.8038198015,8462.89741343401,8035.42221133576,8930.4203500099,26289.3738112915,23839.0716818823,25355.3492579412,18543.5888040988,19049.3255521841,17399.540849367,24731.5587217762,31348.7188907414,24384.9207927069,19833.6715333526,19803.1605850069,21721.5932402215,23419.4282962385,24755.2685651226,26672.7793526023,20432.5558459889,18040.4520763571,18070.9976620924,14999.2974862631,16494.9135062788,14967.2955090563,20519.3981579367,20172.3415672032,20594.1066465622,29526.474044373,27332.4356295586,31630.0247150027
sp|P0AED0|USPA_ECOLI,uspA,Universal stress protein A OS=Escherichia coli (strain K12) GN=uspA PE=1 SV=2,10,859.56,P0AED0,55342.3129059899,28524.6843457985,30073.1472299973,37052.9579569175,40113.600362957,37519.7568612535,27116.3040151423,24832.3725230362,27214.2384571327,42809.9744924116,47972.361270287,40073.2131619764,35608.4591341833,20966.6758250513,30103.6185535705,35266.002924695,43769.7196463116,32186.2965582942,32900.8549340609,35120.0553659429,33284.729523699,56998.9206343118,55564.0312609339,40341.4982543102,45855.4462962848,40757.6547409814,46989.5815341587,48442.5316131978,55987.7397993513,44926.4183466332,69692.7810067882,52102.350624403,55625.3525774695,52146.8859944256,53705.7711502629,53570.1412718804,16475.1935444247,13249.7703340233,9721.80946019483,20160.102377768,19462.3731746567,20820.0477866789,38268.5495135095,37000.6037620362,53416.9188392686,63530.8258403628,37875.1468466909,44182.6724043641,31152.0284981533,14196.5914674895,34070.8415140271,42502.375964341,25410.8881824745,25680.8588073762,40524.167811979,35303.6349934496,39231.6367790277,51638.2485812264,48208.6731354145,54010.8650918756,30490.4879738871,34690.6838408353,35360.3914547497,24289.6438663813,29410.0765283292,19639.6282985294,27108.4171233908,41152.7516566489,31447.7314300048
sp|P0A7L8|RL27_ECOLI,rpmA,50S ribosomal protein L27 OS=Escherichia coli (strain K12) GN=rpmA PE=1 SV=2,4,178.36,P0A7L8,54571.4851396485,65883.5869563058,59703.7853614416,22854.2539382718,23305.1495245951,24726.6757171427,41238.9565875972,43286.8390182128,38161.0444381808,9417.73872106194,8604.64812607756,9425.30134512297,14846.8605755791,14555.6204808192,13028.5523629832,15071.9152140338,14644.7805139084,15185.0906558717,16555.7265384359,19593.2656687863,18781.8413121399,12111.7569960561,12778.5641812324,11915.0792171201,18391.3189388016,15955.8485208222,13818.6633812494,8998.45302829982,9200.25762855869,9355.70958604294,7874.6356601078,7229.87070075185,8021.93501013338,5999.89980381307,6128.73941532314,6207.29376445397,9773.64400999138,9226.56152014694,8862.17775702201,9593.35017630525,8422.18410022356,7238.78404427243,25266.8861437609,22491.1258193848,24769.9091285069,19293.6897179331,18113.8968693427,26868.2766755209,28066.0678116459,25816.6695675887,25752.8034273181,23635.4557280591,25927.179589525,26868.7703322641,20472.9679352351,20587.1246785155,22581.4525284945,14818.5566724481,14784.3193765029,15067.9904467207,11824.4205821568,13282.6774396219,11260.361712913,17919.4744532609,16852.4031363726,17916.6800473888,27914.4614241831,26384.2930672223,22788.1250406245
